Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews
EE5847,6599,3959,40,Adidas ORIGINALS,4.7,20
CK9686,4999,2499,50,Adidas CORE / NEO,4.1,43
EE4567,7599,4559,40,Adidas ORIGINALS,4.4,85
EE5585,7999,4799,40,Adidas ORIGINALS,3.8,37
B96519,6999,3499,50,Adidas CORE / NEO,5,31
B96563,6599,2640,60,Adidas CORE / NEO,2.8,16
CL7547,5599,2799,50,Adidas CORE / NEO,4.7,42
EE4563,7599,4559,40,Adidas ORIGINALS,4.2,82
CK9714,4299,2149,50,Adidas CORE / NEO,2,24
F36475,5299,2649,50,Adidas CORE / NEO,4.6,84
FV8794,5599,5599,0,Adidas CORE / NEO,5,44
EE5177,12999,7799,40,Adidas ORIGINALS,3,76
CL7582,4599,2299,50,Adidas CORE / NEO,3.8,12
F36339,4999,4999,0,Adidas CORE / NEO,4.1,39
EF1963,7999,4799,40,Adidas ORIGINALS,2.2,12
F34442,4599,2299,50,Adidas CORE / NEO,4.1,26
EE9933,5599,5599,0,Adidas CORE / NEO,4.2,89
EE6090,5999,3599,40,Adidas ORIGINALS,2.4,16
B75583,4799,2399,50,Adidas CORE / NEO,4.5,76
EE7922,5999,2999,50,Adidas CORE / NEO,4.6,93
EE5081,4999,2499,50,Adidas ORIGINALS,2.9,51
EE4678,7999,4799,40,Adidas ORIGINALS,4.1,34
CM0076,1299,779,40,Adidas CORE / NEO,4.4,39
B28156,7999,4799,40,Adidas ORIGINALS,4.9,54
EF0527,4999,4999,0,Adidas CORE / NEO,4.1,81
EE4566,7599,4559,40,Adidas ORIGINALS,3.3,60
EE8302,4999,4999,0,Adidas CORE / NEO,4.2,19
CM0075,999,599,40,Adidas CORE / NEO,3.4,57
EF0152,5599,5599,0,Adidas CORE / NEO,2.2,16
CM0093,1499,899,40,Adidas CORE / NEO,3.7,2
F36218,4999,4999,0,Adidas CORE / NEO,4.5,39
CM0083,999,599,40,Adidas CORE / NEO,4,58
CM0078,1299,779,40,Adidas CORE / NEO,3,38
CM0079,1299,779,40,Adidas CORE / NEO,2.9,64
CM0074,999,599,40,Adidas CORE / NEO,4.2,22
CM0073,999,599,40,Adidas CORE / NEO,4.4,93
CM0092,1499,899,40,Adidas CORE / NEO,2.6,54
EG8672,5599,5599,0,Adidas CORE / NEO,0,27
EG8480,4599,4599,0,Adidas CORE / NEO,4.4,80
EG3148,4599,4599,0,Adidas CORE / NEO,4,9
CM0082,999,599,40,Adidas CORE / NEO,3.6,29
